,path,height,width,aspect_ratio,r,g,b,h,s,v,error
15518,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f235b189-5580-437a-b97a-8564c30f979e.png,2000,3008,0.6648936170212766,201.63852892287235,195.0287732712766,184.3410861037234,23.64991672207447,56.251372506648934,201.85155950797872,
15519,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f23b85a3-b865-40d7-8657-614dc977dddd.png,2048,5824,0.3516483516483517,154.57713829292047,144.979374560681,88.11877307263049,35.9548577947931,117.50672837142106,154.6190183870085,
15520,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f23bc9aa-cfcf-4cae-bf98-8221f94a3099.png,2575,2990,0.8612040133779264,127.5070932883073,98.4146714290353,56.5789310647141,23.727674773516902,151.7705788226126,127.50768711238108,
15521,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f242cfed-a6c9-4ad8-8b46-9298506016c2.png,2932,1932,1.5175983436853002,129.79023020768898,111.88205801479498,74.9996391640469,30.738851863777718,113.87970216558062,129.8914120337025,
15522,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f249f275-32df-4d16-a9b2-589fc2ca7f7f.png,2816,2496,1.1282051282051282,109.09495519535803,93.13820436562136,67.1965215367315,29.978600135216347,106.97748571009069,110.1052964572862,
15523,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f24a820f-6d7c-46ae-b094-ab5781145b43.png,1530,2990,0.5117056856187291,113.39721336918268,87.70982643670624,57.065376746016135,21.396070999191203,135.03810916562836,113.40021356591689,
15524,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f24ad720-3b5f-42a0-a6ac-290b9eeb5bd8.png,3680,5680,0.647887323943662,91.36513003291488,68.71923104523883,50.32501664880588,74.71294368110838,120.68782374272811,92.17135171080832,
15525,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f24efdc5-0c92-44e4-afc6-c6681015e60e.png,2224,2000,1.112,148.60743727517985,117.04776551258993,76.44389793165467,24.266706834532375,136.14350269784174,148.6244303057554,
15526,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f251168b-a441-4916-9f11-ef5a5bc0e54b.png,1976,5088,0.38836477987421386,81.72398021541517,67.63711879424159,46.68426980686477,25.674980067412726,115.5632181301403,81.7856588416342,
15527,/media/data_cifs/projects/prj_fossils/data/yale_full/urn:uuid:f2574346-8aeb-401c-b143-5b93563d4c49.png,2819,1900,1.4836842105263157,157.2443695972816,131.41397882787848,102.68489273911989,26.202496032561005,107.05423218386512,157.47525494296224,
