,Genus,count,normalized_cumsum
0,Lauraceae,53,0.0701058201058201
1,Lomatia,41,0.12433862433862433
2,Fabaceae,36,0.17195767195767195
3,Alnus,34,0.21693121693121692
4,Rhus,32,0.25925925925925924
5,Parvileguminophyllum,30,0.29894179894179895
6,Cedrelospermum,30,0.3386243386243386
7,Platanites,28,0.37566137566137564
8,Cunoniaceae,22,0.40476190476190477
9,Malvaceae,19,0.4298941798941799
10,Sapindaceae,18,0.4537037037037037
11,Lindera,18,0.4775132275132275
12,Castaneophyllum,17,0.5
13,Atherospermophyllum,16,0.5211640211640212
14,Rhamnaceae,15,0.541005291005291
15,Erlingdorfia,15,0.5608465608465608
16,Eucalyptus,13,0.578042328042328
17,Macginitiea,13,0.5952380952380952
18,Trochodendroides,13,0.6124338624338624
19,Laurophyllum,12,0.6283068783068783
20,Cercidiphyllum,12,0.6441798941798942
21,Persites,11,0.6587301587301587
22,Allophylus,10,0.671957671957672
23,Ziziphoides,10,0.6851851851851852
24,Populus,10,0.6984126984126984
25,Akania,9,0.7103174603174603
26,Caesalpinia,9,0.7222222222222222
27,Grewiopsis,8,0.7328042328042328
28,Salix,8,0.7433862433862434
29,Spiraea,8,0.753968253968254
30,Menispermites,8,0.7645502645502645
31,Marmarthia,7,0.7738095238095238
32,Juglandiphyllites,7,0.783068783068783
33,Ulmus,7,0.7923280423280423
34,Malvaciphyllum,6,0.8002645502645502
35,Sassafras,6,0.8082010582010583
36,Browniea,6,0.8161375661375662
37,Leguminosites,6,0.8240740740740741
38,Syzygioides,5,0.8306878306878307
39,Betula,5,0.8373015873015873
40,Cardiospermum,5,0.843915343915344
41,Anacardiaceae,5,0.8505291005291006
42,Cornus,5,0.8571428571428571
43,Leepierciea,5,0.8637566137566137
44,Euphorbiaceae,4,0.8690476190476191
45,Arecaceae,4,0.8743386243386243
46,Montrichardia,4,0.8796296296296297
47,Suessenia,4,0.8849206349206349
48,Triumfetta,4,0.8902116402116402
49,Davidia,4,0.8955026455026455
50,Meliaceae,3,0.8994708994708994
51,Photinia,3,0.9034391534391535
52,Corylites,3,0.9074074074074074
53,aff. Crataegus,3,0.9113756613756614
54,Aesculus,3,0.9153439153439153
55,Zingiberaceae,3,0.9193121693121693
56,Crataegus,3,0.9232804232804233
57,Itea,3,0.9272486772486772
58,Celtis,3,0.9312169312169312
59,Beringiaphyllum,3,0.9351851851851852
60,Theaceae,2,0.9378306878306878
61,Ripogonum,2,0.9404761904761905
62,Rosaceae,2,0.9431216931216931
63,Schoepfia,2,0.9457671957671958
64,Prunus,2,0.9484126984126984
65,Acer,2,0.951058201058201
66,cf. Quercus,2,0.9537037037037037
67,Petrocardium,2,0.9563492063492064
68,Platycarya,2,0.958994708994709
69,Juglandaceae,2,0.9616402116402116
70,Langeria,2,0.9642857142857143
71,Fagaceae,2,0.966931216931217
72,Archeampelos,2,0.9695767195767195
73,Araceae,2,0.9722222222222222
74,Zelkova,1,0.9735449735449735
75,Wilkinsoniphyllum,1,0.9748677248677249
76,Tilia,1,0.9761904761904762
77,Ulmites,1,0.9775132275132276
78,Trochodendron,1,0.9788359788359788
79,Dombeya,1,0.9801587301587301
80,Apocynaceae,1,0.9814814814814815
81,Ericaceae,1,0.9828042328042328
82,Comptonia,1,0.9841269841269841
83,Proteaceae,1,0.9854497354497355
84,Ficus,1,0.9867724867724867
85,Stillingia,1,0.9880952380952381
86,Hovenia,1,0.9894179894179894
87,Liriodendrites,1,0.9907407407407407
88,Menispermaceae,1,0.9920634920634921
89,Monimiophyllum,1,0.9933862433862434
90,Myrtaceae,1,0.9947089947089947
91,Rhododendron,1,0.996031746031746
92,Rhamnica,1,0.9973544973544973
93,Platanus,1,0.9986772486772487
94,Gymnocladus,1,1.0
